avgTemp,minTemp,maxTemp,rainfall,price
9.9,1.6,16.5,5.5,3142.0
10.2,4.3,15.3,0.3,3190.0
8.9,1.8,16.3,0.0,3190.0
9.2,5.2,14.4,0.0,3190.0
4.1,-0.9,8.8,0.0,3329.0
3.4,-2.7,10.6,0.0,3435.0
5.3,-0.1,12.6,0.0,3561.0
5.1,-0.6,13.4,0.0,3820.0
4.6,-0.9,12.2,0.0,3784.0
6.8,0.0,16.0,0.0,3784.0
9.5,2.4,17.3,0.0,3784.0
8.6,2.1,14.3,1.3,3958.0
5.6,-1.5,13.2,0.0,3927.0
7.4,1.6,13.8,0.0,3845.0
5.6,1.1,10.4,0.0,3610.0
1.8,-2.7,7.6,0.0,3670.0
3.3,-3.3,10.8,1.3,3670.0
1.2,-3.1,5.8,0.2,3670.0
4.7,-1.5,11.9,0.9,3657.0
7.8,2.3,15.1,0.6,3546.0
7.2,2.1,15.3,0.0,3411.0
8.2,3.6,13.2,1.2,3459.0
3.8,-0.4,10.0,0.6,3595.0
3.4,-2.7,10.2,0.0,3595.0
7.8,1.1,14.6,0.0,3595.0
6.0,0.3,12.1,1.0,3582.0
0.8,-2.7,6.0,0.3,3552.0
1.1,-3.5,5.9,2.1,3552.0
0.3,-3.8,5.0,0.1,3709.0
4.0,-5.0,11.4,0.5,3679.0
1.6,-4.7,9.8,0.0,3679.0
-0.8,-7.4,4.8,0.1,3679.0
3.7,0.9,5.8,11.9,3633.0
0.8,-5.0,5.7,0.0,3509.0
-6.0,-8.7,-2.4,0.1,3573.0
-5.0,-10.0,0.0,0.0,3616.0
0.0,-4.9,4.7,0.8,3616.0
1.0,-4.6,8.1,0.0,3616.0
5.5,-1.6,11.3,0.0,3616.0
4.8,-0.4,11.8,0.0,3616.0
3.6,-1.9,11.0,0.0,3616.0
3.7,-1.1,10.6,0.0,3408.0
1.8,-3.7,7.9,0.0,3455.0
-6.8,-9.5,-2.7,0.0,3398.0
-7.1,-11.0,-3.1,0.4,3398.0
-5.3,-9.6,-1.0,0.9,3398.0
-1.4,-6.6,3.6,0.6,3576.0
0.6,-3.4,4.7,3.8,3576.0
-2.2,-5.8,1.8,0.2,3576.0
-2.8,-6.4,1.0,4.0,3599.0
-6.1,-9.3,-2.3,1.0,3601.0
-5.0,-10.4,0.7,0.4,3601.0
-3.5,-9.5,3.6,0.0,3601.0
-3.3,-8.5,1.8,1.8,4252.0
-2.0,-6.8,2.2,0.0,4168.0
-0.7,-4.0,2.5,0.0,4376.0
-4.1,-7.3,-0.5,0.1,4609.0
-5.5,-10.8,0.6,0.0,4609.0
